Min,Max,Median,Mean,Variance,StandardDeviation,AngularSecondMoment,Contrast,Correlation,Variance,Homogeneity,SumAverage,SumVariance,SumEntropy,Entropy,DifferenceVariance,DifferenceEntropy,InformationMeasureOfCorrelation1,InformationMeasureOfCorrelation2,NumberOfVesselPixels,VesselDensity,SumOfVesselsLength,GrayLevelCoefficientVariation
0.321569,0.898039,0.654902,0.628527,0.017870,0.133679,0.000932,125.419412,0.944408,1131.710294,0.158496,320.386601,4401.421764,7.754302,10.303254,0.000281,4.340658,-0.502437,0.999501,159.000000,0.155273,85.000000,0.203214
0.290196,0.843137,0.564706,0.583762,0.014230,0.119290,0.000919,168.124837,0.905351,893.289663,0.144403,297.156510,3405.033814,7.527397,10.305321,0.000267,4.515261,-0.457653,0.998880,181.000000,0.176758,82.000000,0.133900
0.184314,0.764706,0.541176,0.538051,0.014759,0.121489,0.000936,150.128431,0.921341,954.564350,0.156161,274.011674,3668.128971,7.638786,10.292151,0.000297,4.477331,-0.481477,0.999259,155.000000,0.151367,82.000000,0.220394
0.282353,0.733333,0.545098,0.542555,0.008734,0.093457,0.000989,176.829084,0.843470,564.889761,0.147088,276.297330,2082.729961,7.300912,10.220567,0.000294,4.529776,-0.417462,0.997707,187.000000,0.182617,100.000000,0.154432
0.231373,0.725490,0.482353,0.490518,0.012445,0.111558,0.001012,120.558614,0.924254,796.091106,0.170718,249.461710,3063.805808,7.548988,10.204558,0.000374,4.239499,-0.472690,0.999090,181.000000,0.176758,78.000000,0.173378
0.184314,0.596078,0.396078,0.384107,0.011066,0.105196,0.001105,64.017852,0.954243,701.433367,0.173605,195.360725,2741.715617,7.315194,10.060368,0.000490,3.962779,-0.442932,0.998353,136.000000,0.132812,74.000000,0.201098
0.341176,0.831373,0.611765,0.604400,0.008087,0.089927,0.001077,102.450206,0.899678,511.357020,0.157185,308.100148,1942.977872,7.272195,10.095340,0.000321,4.214500,-0.424171,0.997802,133.000000,0.129883,82.000000,0.136933
0.047059,0.478431,0.262745,0.267107,0.006912,0.083138,0.001297,35.823963,0.959017,438.288410,0.198305,134.709547,1717.329676,7.214085,9.853601,0.000720,3.638960,-0.435115,0.997867,81.000000,0.079102,42.000000,0.281007
0.360784,0.886275,0.623529,0.618428,0.011583,0.107626,0.001061,106.196166,0.926715,726.756891,0.184179,314.935094,2800.831399,7.485588,10.143526,0.000343,4.095003,-0.468937,0.998980,170.000000,0.166016,80.000000,0.160550
0.305882,0.996078,0.678431,0.665522,0.028101,0.167632,0.000810,254.804866,0.928430,1784.059468,0.140259,338.604798,6881.433007,7.991019,10.474106,0.000198,4.748178,-0.542496,0.999792,189.000000,0.184570,80.000000,0.169424
0.141176,0.521569,0.345098,0.347197,0.008143,0.090238,0.001210,70.025624,0.932906,523.017868,0.189762,176.490570,2022.045846,7.177419,9.979681,0.000545,4.025778,-0.416824,0.997292,184.000000,0.179688,89.000000,0.166219
0.215686,0.811765,0.568627,0.549380,0.015063,0.122731,0.000920,198.392495,0.898161,973.962448,0.141340,279.638853,3697.457298,7.630635,10.290322,0.000280,4.494842,-0.476809,0.999201,156.000000,0.152344,74.000000,0.246225
0.356863,0.972549,0.729412,0.714729,0.016363,0.127920,0.001080,58.242919,0.971810,1036.267497,0.199795,364.588067,4086.827070,7.691013,10.103612,0.000362,3.800595,-0.520618,0.999581,69.000000,0.067383,32.000000,0.111717
0.133333,0.650980,0.407843,0.412527,0.011806,0.108656,0.000932,114.469417,0.922126,739.812040,0.142814,209.914445,2844.778745,7.505183,10.284126,0.000355,4.334710,-0.454460,0.998799,137.000000,0.133789,73.000000,0.270597
0.227451,0.800000,0.541176,0.551302,0.014167,0.119025,0.000962,194.907933,0.892423,907.768182,0.149078,280.156762,3436.164795,7.581361,10.262055,0.000267,4.596237,-0.473787,0.999139,182.000000,0.177734,95.000000,0.197987
0.133333,0.992157,0.729412,0.671392,0.038300,0.195703,0.000862,196.112009,0.959189,2417.593678,0.143042,342.629861,9474.262704,8.046595,10.380200,0.000227,4.521865,-0.561394,0.999847,67.000000,0.065430,35.000000,0.297992
0.247059,0.619608,0.470588,0.462707,0.005183,0.071990,0.001289,60.284494,0.907241,325.835794,0.170532,235.946239,1243.058683,7.015055,9.871372,0.000482,3.930114,-0.382975,0.995312,147.000000,0.143555,89.000000,0.157726
0.239216,0.807843,0.572549,0.565089,0.012193,0.110423,0.000914,157.992903,0.897859,775.187402,0.133501,287.905819,2942.756703,7.542659,10.299507,0.000280,4.477052,-0.459385,0.998920,159.000000,0.155273,81.000000,0.220518
0.156863,0.537255,0.329412,0.341039,0.009154,0.095676,0.000937,100.483432,0.913403,581.666514,0.143160,173.371911,2226.182623,7.289744,10.249911,0.000423,4.284344,-0.405207,0.997226,174.000000,0.169922,88.000000,0.176637
0.168627,0.694118,0.407843,0.420221,0.014835,0.121801,0.000916,112.368870,0.939748,935.254666,0.164308,213.743626,3628.649793,7.632254,10.293791,0.000360,4.290450,-0.480842,0.999247,208.000000,0.203125,99.000000,0.251280
0.133333,0.800000,0.560784,0.537661,0.021467,0.146517,0.000913,156.030421,0.943418,1378.918698,0.162990,273.478213,5359.644371,7.834639,10.319225,0.000295,4.432517,-0.523208,0.999665,132.000000,0.128906,68.000000,0.262367
0.101961,0.466667,0.247059,0.262079,0.006722,0.081989,0.001096,75.129374,0.911773,426.516829,0.149938,132.717677,1630.937943,7.103221,10.077076,0.000526,4.123073,-0.383399,0.995693,178.000000,0.173828,88.000000,0.192974
0.294118,0.894118,0.631373,0.632544,0.014290,0.119542,0.000944,123.025754,0.931788,901.510858,0.160949,322.252992,3483.017678,7.622143,10.261489,0.000296,4.230069,-0.484930,0.999293,115.000000,0.112305,55.000000,0.154782
0.258824,0.709804,0.513725,0.512374,0.009236,0.096102,0.000949,135.440467,0.884034,584.354656,0.146728,260.955491,2201.978156,7.350357,10.247272,0.000324,4.395882,-0.423631,0.997952,176.000000,0.171875,87.000000,0.155046
0.247059,0.878431,0.576471,0.584521,0.022763,0.150875,0.000822,181.251146,0.937626,1456.529239,0.150233,297.005325,5644.865810,7.925949,10.431092,0.000268,4.453383,-0.525731,0.999703,143.000000,0.139648,67.000000,0.233208
0.239216,0.898039,0.643137,0.615579,0.022332,0.149439,0.000875,182.199743,0.936759,1440.878315,0.147880,312.998488,5581.313516,7.832851,10.366858,0.000245,4.530239,-0.518380,0.999643,167.000000,0.163086,82.000000,0.197322
0.098039,0.501961,0.337255,0.335727,0.007238,0.085075,0.001299,32.655307,0.963952,455.287671,0.207857,170.707954,1788.495378,7.199517,9.847092,0.000729,3.571021,-0.436491,0.997888,70.000000,0.068359,36.000000,0.228958
0.156863,0.611765,0.380392,0.384949,0.011740,0.108353,0.001050,86.624041,0.941981,749.508245,0.166310,195.829426,2911.408939,7.406638,10.161319,0.000415,4.178600,-0.447039,0.998528,189.000000,0.184570,89.000000,0.179176
0.250980,0.639216,0.450980,0.452872,0.005266,0.072564,0.001301,47.792965,0.926944,328.459542,0.180735,230.836799,1266.045205,6.982716,9.850808,0.000493,3.810530,-0.382723,0.995207,74.000000,0.072266,42.000000,0.116083
0.192157,0.823529,0.560784,0.559762,0.016308,0.127702,0.000791,257.433801,0.876325,1042.563154,0.122556,284.631057,3912.818814,7.695796,10.466650,0.000224,4.791537,-0.476275,0.999276,211.000000,0.206055,107.000000,0.203707
0.101961,0.670588,0.478431,0.460355,0.012865,0.113423,0.001097,66.541501,0.959003,814.529645,0.177991,234.634406,3191.577077,7.516879,10.085967,0.000453,3.947742,-0.485472,0.999212,52.000000,0.050781,25.000000,0.307139
0.403922,0.819608,0.635294,0.634383,0.006240,0.078993,0.001408,50.270039,0.935822,392.992647,0.220653,323.742383,1521.700548,7.135399,9.765618,0.000486,3.607084,-0.437485,0.997862,118.000000,0.115234,65.000000,0.131833
0.400000,0.909804,0.678431,0.687531,0.011460,0.107052,0.001101,44.911746,0.968308,712.538294,0.200860,350.428167,2805.241432,7.473790,10.066167,0.000388,3.724804,-0.473161,0.998998,77.000000,0.075195,41.000000,0.117367
0.258824,0.796078,0.549020,0.534153,0.014129,0.118865,0.000977,104.867529,0.940652,886.890164,0.187094,272.116976,3442.693129,7.610995,10.230579,0.000358,4.177893,-0.486283,0.999293,184.000000,0.179688,89.000000,0.197017
0.219608,0.752941,0.584314,0.575827,0.006483,0.080515,0.001257,63.092303,0.921360,403.838994,0.180824,293.457889,1552.263675,7.120989,9.889998,0.000423,3.897659,-0.414053,0.997089,92.000000,0.089844,65.000000,0.163574
0.211765,0.623529,0.443137,0.433992,0.008306,0.091135,0.001056,95.423420,0.909443,529.111396,0.172319,220.956669,2021.022163,7.307392,10.129478,0.000419,4.194686,-0.419006,0.997627,193.000000,0.188477,88.000000,0.183098
0.141176,0.674510,0.425490,0.413113,0.012232,0.110599,0.000968,84.023064,0.945204,770.032545,0.165829,210.043176,2996.107115,7.562799,10.239692,0.000395,4.112847,-0.460876,0.998901,140.000000,0.136719,73.000000,0.256083
0.258824,0.705882,0.478431,0.488285,0.008158,0.090323,0.001128,93.474912,0.909407,516.665494,0.184354,248.434931,1973.187063,7.246489,10.053731,0.000416,4.095268,-0.422653,0.997684,154.000000,0.150391,62.000000,0.117634
0.176471,0.600000,0.396078,0.401930,0.008959,0.094651,0.001061,78.069345,0.931334,569.110456,0.170022,204.618464,2198.372479,7.349881,10.123214,0.000460,4.091501,-0.433583,0.998133,156.000000,0.152344,79.000000,0.207503
0.149020,0.764706,0.498039,0.492348,0.014457,0.120239,0.000921,125.241830,0.932296,926.190601,0.163706,250.880683,3579.520574,7.674095,10.297197,0.000338,4.304793,-0.490115,0.999367,214.000000,0.208984,94.000000,0.251607
0.137255,0.619608,0.368627,0.377734,0.011473,0.107113,0.000907,119.951954,0.918415,735.987135,0.142952,191.759707,2823.996586,7.473745,10.311589,0.000353,4.400776,-0.443999,0.998597,187.000000,0.182617,92.000000,0.234061
0.188235,0.647059,0.435294,0.440231,0.007716,0.087838,0.000975,155.822369,0.841578,492.911763,0.133631,223.884024,1815.824682,7.217648,10.224373,0.000318,4.532772,-0.394246,0.996657,238.000000,0.232422,119.000000,0.161643
0.184314,0.643137,0.427451,0.438905,0.009459,0.097256,0.000897,157.724132,0.869164,603.764182,0.127261,223.118805,2257.332598,7.343353,10.314693,0.000309,4.551824,-0.412635,0.997639,227.000000,0.221680,110.000000,0.157442
0.211765,0.721569,0.466667,0.470569,0.010859,0.104205,0.000956,137.008674,0.901130,693.966841,0.145648,239.179281,2638.858689,7.474501,10.262624,0.000313,4.420331,-0.450848,0.998716,188.000000,0.183594,81.000000,0.180576
0.121569,0.560784,0.349020,0.340866,0.007312,0.085508,0.001175,43.240594,0.952668,458.036741,0.183119,173.166192,1788.906369,7.223165,9.970402,0.000559,3.777431,-0.428321,0.997794,100.000000,0.097656,62.000000,0.257149
0.152941,0.662745,0.443137,0.434858,0.008186,0.090479,0.001130,69.178826,0.931646,509.396610,0.186681,221.796135,1968.407616,7.314091,10.053456,0.000468,3.969990,-0.437602,0.998167,121.000000,0.118164,66.000000,0.197423
0.290196,0.807843,0.576471,0.584015,0.012174,0.110338,0.001008,127.143381,0.917234,770.857477,0.163877,297.270104,2956.286528,7.480245,10.198897,0.000315,4.326213,-0.458675,0.998823,163.000000,0.159180,85.000000,0.154817
0.176471,0.698039,0.396078,0.419317,0.017688,0.132998,0.000912,95.801907,0.957431,1127.338066,0.163463,212.824101,4413.550355,7.650071,10.297705,0.000375,4.189333,-0.486830,0.999324,154.000000,0.150391,77.000000,0.210179
0.160784,0.552941,0.368627,0.368857,0.007368,0.085839,0.001041,96.111139,0.896876,466.802320,0.157788,187.401624,1771.098143,7.228489,10.132826,0.000452,4.204453,-0.407665,0.997173,195.000000,0.190430,87.000000,0.203943
0.274510,0.694118,0.505882,0.502738,0.007414,0.086105,0.001038,90.225294,0.903044,466.339008,0.153598,256.094230,1775.130738,7.219451,10.146246,0.000370,4.183827,-0.407480,0.997198,111.000000,0.108398,60.000000,0.145229
0.282353,0.847059,0.560784,0.572836,0.011232,0.105980,0.000935,224.336092,0.838130,697.120959,0.142375,291.478749,2564.147746,7.444787,10.286079,0.000253,4.612490,-0.442809,0.998544,202.000000,0.197266,94.000000,0.127737
0.203922,0.839216,0.533333,0.530170,0.016272,0.127562,0.000832,202.989822,0.901260,1030.425713,0.136765,269.563248,3918.713029,7.697845,10.419424,0.000223,4.697413,-0.479224,0.999292,218.000000,0.212891,108.000000,0.229397
0.207843,0.819608,0.556863,0.558820,0.017203,0.131158,0.000956,113.550550,0.948379,1101.412972,0.175060,284.619163,4292.101339,7.716588,10.271020,0.000331,4.237445,-0.505405,0.999517,196.000000,0.191406,89.000000,0.205490
0.192157,0.674510,0.478431,0.481441,0.008857,0.094113,0.001154,142.423281,0.875058,570.724431,0.155053,244.847108,2140.474443,7.155633,10.044876,0.000362,4.343354,-0.423031,0.997690,209.000000,0.204102,85.000000,0.167300
0.058824,0.415686,0.231373,0.227279,0.006727,0.082017,0.001104,61.556110,0.928564,431.330189,0.163651,114.812272,1663.764645,7.110786,10.048991,0.000637,3.990051,-0.387063,0.995914,153.000000,0.149414,72.000000,0.375844
0.341176,0.807843,0.596078,0.595401,0.010233,0.101159,0.001121,55.153502,0.956686,639.127622,0.189834,303.460572,2501.356986,7.441867,10.056556,0.000402,3.863480,-0.465048,0.998856,121.000000,0.118164,69.000000,0.181391
